@relation 1_1

@attribute Text_data String
@attribute Classification {?,Cons,Pros}

@data
'Expensive Cartridge',Cons
'Piece of trash!! Turns off sometimes, drop calls, doesn\'t ring',Cons
'You need to devote time to learn to use it--but do.',Cons
'It does put out printed materials',Pros
'Prints don\'t last unless \'under glass.\'',Cons
'Phone shuts off when it wants to.  Battery life diminishes.',Cons
'Manufacturers Lose $$$$$$$',Cons
'Great Pictures.  Easy to use.  Great battery life with NiMH.',Pros
'Easy access to ink and paper trays',Pros
'It is very compact and attractive. The price is great.',Pros
'Optical Zoom range a bit limited.',Cons
none,Cons
'Waterspots on some pictures, battery life could be better, hard to capture close-up photos, upload to computer on the slow side.',Cons
'Everything!  Price, Features, Size!  The only phone you will ever want.',Pros
'Excellent quality, Cool viewing moniter',Pros
'USB compatible, easy to use, zoom feature, viewfinder  ,',Pros
'fragile antenna, that awful low battery signal',Cons
'Good camera, great 320x240 display, MP3 player sound quality, popular phone platform=lots of games/apps,',Pros
'battery eater',Cons
'Very little memory, won\'t be enough if you like clicking pictures.',Cons
'LCD screen auto shut-off, 16MB card, no discount on purchasing card, battery life',Cons
'Safe! Simple! Cheap!',Pros
'Front LCD Panel, \'hand feel\', Large screen display',Pros
'Ink is expensive',Cons
'Compact and Sleek,Features',Pros
'small footprint and fewer cords',Pros
'this phone is very easy to use and has good reception, clear as a bell.',Pros
'Good software, price.',Pros
'Excellent Clarity,',Pros
'Seems to be a crapshoot whether they work.',Cons
'Photo reproduction is not as crisp as HP',Cons
'Small & lightweight, very easy to use. Interchangeable faceplates and a vibrating ringer. Cheap too!',Pros
'Mobil Web',Pros
'No paper jams. Excellent support. Good price.',Pros
'Worth it for those who don\'t cart baby around all day in a car seat',Cons
'well if it weren\'t a lemon... voice activation, display clarity, ringtone selection',Pros
'Fast, Network Ready, Great Colors',Pros
'comes with 16mb memory stick',Cons
'eats batteries;',Cons
'expensive for a 2 megapixel camera, no carrying case included, small compactflash included',Cons
$300,Cons
radio,Pros
'A very solid, reliable phone',Pros
'Excellent picture quality, very affordable, great in every way',Pros
'GREAT PICTURES. THEY ARE SO CLEAR.',Pros
'Compared to all other phones, everything about this phone is poor at best.',Cons
SLOW,Cons
'cheap, lightweight, easy to use',Pros
'Excellent Image Quality, Professional Features, Options for Lenses',Pros
'Fiddly menus',Cons
'Slow image construction time. Requires heavy pressure for shutter button to register.',Cons
'Absolutely nothing!',Cons
'No Bluetooth',Cons
Availability,Cons
'bad reception, bad battery life, gets hot while in use',Cons
'Few, if any',Cons
'No optical viewfinder - but who needs it.  Sony\'s website',Cons
'PTT is great, provider service is good.',Pros
'the cooliest',Cons
'zoom a little difficult',Cons
'Somewhat flimsy.  No WAP',Cons
'Big, bright screen.  High speed. Great speakers.  Camera, video camera and light. Battery life.',Pros
'Cheap and small',Pros
'Signal sometimes, No Color Exterior Display, 20 Pics Tops for Camera',Cons
'light weight, small size, speaker phone, large phonebook, sound quality is good, very durable',Pros
'4 Mb memory stick',Cons
'Great features, convenient size',Pros
'Ease of use',Pros
'No access to raw pixels',Cons
'Simplicity in operation, cost, and print quality',Pros
expensive,Cons
'That flip!',Cons
'not great for indoor shooting, a starter camera in some ways',Cons
'Ergonomically familiar to Canon EOS SLR owners.&amp;#13;&amp;#10;Camera is capable of absolutely stunning images.',Pros
'Too new for accessories, not a very good signal',Cons
'expensive, slow print speed',Cons
'Solid software/drivers; very very fast',Pros
'autofocus takes too long',Cons
'User Interface, Hands Free, Feature Packed',Pros
'Buggy drivers (?), noisy, pricey replacement cartridges.',Cons
'looks; features; price; screen',Pros
'still print same size as the 1200, ink carts harder to find (for now)',Cons
'Optical viewfinder not so good, price',Cons
'Static, dropped calls, unpredictable ring tones',Cons
'Great all-around digital camera, cool looking, macro focus, fun!',Pros
'Hard to get, high priced, average LCD brightness, poor CF door design.',Cons
'Durable-dropped it at least 23 times and still kicking, small',Pros
None,Cons
'Set up was no breeze and documentation is weak',Cons
'Slow, Loud, paper weight support that holds up the paper in the feeder',Cons
'Easy to use,great pictures, compact yet fits well in hands.',Pros
'Great phone, super great options worth the purchase',Pros
'Battery life',Cons
'Write time is a little slow.  Lower resolution are distorted.',Cons
'Small, lightweight, lots of features',Pros
'Can keep in pocket.  Takes great pictures.',Pros
NONE,Pros
'Tough and Rugged.',Pros
'Mediocre Photo Quality;&amp;#13;&amp;#10;Expensive Cartridge;&amp;#13;&amp;#10;Inflexible changing cartridges;&amp;#13;&amp;#10;Show print mark on the back.',Cons
'VERY slow transfers with serial cable model, not professional level photography',Cons
'Style, speaker phone, voice recorder, two-way direct-connect',Pros
'very user friendly, right price for the service. good for young people',Pros
'may have slight problems interfacing with windows ME',Cons
Price,Pros
'easy to use, great quality',Pros
'Hard to store and travel with, not very comfortable for toddlers',Cons
'EASY TO USE, AND GOOD QUALITY PICTURES',Pros
'Text not perfect, speed not fast',Cons
'Price, Software, Ease of use and installation, Print Quality.',Pros
'great print quality. holds extra 3-color cartridge. media card slots. holds 4x6 paper.',Pros
'Good size, great reception, easy to use menus',Pros
'cartridges a little expensive',Cons
'Motorola always produces solid well built products...but...',Pros
'need optional battery for vibra-alerts, and not that compact',Cons
'Price, reliability, toner save feature, great workmanship',Pros
'costly calls',Cons
'An ink hog',Cons
